,reaction,Unnamed: 0,dG,dG_std,ddG0,dG_prime,lower_bound,upper_bound,sign,direction
0,R08505,0,-445.04618430000005,8.972799351,44.81747386,-400.22871039999995,-427.1471085,-373.3103123,159458.4205,2
1,R08852,1,-446.44633380000005,74.11098259999999,44.81747386,-401.6288599,-623.9618077,-179.2959121,111873.8014,2
2,R08851,2,-445.53316500000005,8.954304867000001,44.81747386,-400.7156911,-427.5786057,-373.8527765,159851.4489,2
3,R07882,3,1.702343159,6.36213342,0.058091562,1.76043472,-17.32596554,20.84683498,-361.19154449999996,0
4,R07885,4,0.7721572040000001,6.367606612,2.719700183,3.491857387,-15.61096245,22.59467722,-352.7246577,0
5,R08856,5,2.075816428,6.651535298,0.497322463,2.573138891,-17.381467,22.52774479,-391.5652526,0
6,R08503,6,-0.033585781,6.320472571,-2.4e-05,-0.033609763,-18.99502748,18.92780795,-359.53423210000005,0
7,R08854,7,-445.5161478999999,74.10977794,44.81747386,-400.69867400000004,-623.0280078,-178.36934019999998,111129.0947,2
8,R08859,8,76.00105847,121.0963216,-2.87808185,73.12297662,-290.16598819999996,436.4119414,-126631.9022,0
9,R08516,9,24.39004654,15.88270615,8.1e-06,24.39005465,-23.258063800000002,72.0381731,-1675.468426,0
10,R01001,10,4.879269364,8.938444631,-1.251922543,3.627346821,-23.18798707,30.44268071,-705.9044868,0
11,R01000,11,65.52660285,6.3018584010000005,-42.37560807,23.15099478,4.245419577,42.05656998,178.5477855,0
12,R03359,12,-55.89003808,96.56026803,0.002659832,-55.88737825,-345.56818230000005,233.7934258,-80791.56921,0
13,R03358,13,-72.91473455,96.06118546,-0.02086971,-72.93560426,-361.1191606,215.24795209999996,-77730.1598,0
14,R03351,14,25.98912551,6.634835286,-40.87632638,-14.88720087,-34.79170673,5.017304988,-174.56060369999997,0
15,R03350,15,5.795172687000001,6.446715817,1.918004611,7.713177298,-11.62697015,27.05332475,-314.5481994,0
